1: Wiseman4 is thinking
2: Wiseman4 is thinking
3: Wiseman4 is thinking
4: Wiseman4 is thinking
5: Wiseman4 is thinking
6: Wiseman4 is thinking
7: Wiseman4 is thinking
8: Wiseman4 is thinking
9: Wiseman4 is thinking
494: Wiseman4 couldn't take right fork, now waiting
495: Wiseman4 couldn't take right fork, now waiting
496: Wiseman4 couldn't take right fork, now waiting
497: Wiseman4 couldn't take right fork, now waiting
498: Wiseman4 couldn't take right fork, now waiting
499: Wiseman4 couldn't take right fork, now waiting
500: Wiseman4 couldn't take right fork, now waiting
501: Wiseman4 couldn't take right fork, now waiting
502: Wiseman4 couldn't take right fork, now waiting
503: Wiseman4 couldn't take right fork, now waiting
504: Wiseman4 couldn't take right fork, now waiting
505: Wiseman4 couldn't take right fork, now waiting
506: Wiseman4 couldn't take right fork, now waiting
507: Wiseman4 couldn't take right fork, now waiting
508: Wiseman4 couldn't take right fork, now waiting
509: Wiseman4 couldn't take right fork, now waiting
510: Wiseman4 couldn't take right fork, now waiting
511: Wiseman4 couldn't take right fork, now waiting
512: Wiseman4 couldn't take right fork, now waiting
513: Wiseman4 couldn't take right fork, now waiting
514: Wiseman4 couldn't take right fork, now waiting
515: Wiseman4 couldn't take right fork, now waiting
516: Wiseman4 couldn't take right fork, now waiting
517: Wiseman4 couldn't take right fork, now waiting
518: Wiseman4 couldn't take right fork, now waiting
519: Wiseman4 couldn't take right fork, now waiting
520: Wiseman4 couldn't take right fork, now waiting
521: Wiseman4 couldn't take right fork, now waiting
522: Wiseman4 couldn't take right fork, now waiting
523: Wiseman4 couldn't take right fork, now waiting
524: Wiseman4 couldn't take right fork, now waiting
525: Wiseman4 couldn't take right fork, now waiting
526: Wiseman4 couldn't take right fork, now waiting
527: Wiseman4 couldn't take right fork, now waiting
528: Wiseman4 couldn't take right fork, now waiting
529: Wiseman4 couldn't take right fork, now waiting
530: Wiseman4 couldn't take right fork, now waiting
531: Wiseman4 couldn't take right fork, now waiting
532: Wiseman4 couldn't take right fork, now waiting
533: Wiseman4 couldn't take right fork, now waiting
534: Wiseman4 couldn't take right fork, now waiting
535: Wiseman4 couldn't take right fork, now waiting
536: Wiseman4 couldn't take right fork, now waiting
537: Wiseman4 couldn't take right fork, now waiting
538: Wiseman4 couldn't take right fork, now waiting
539: Wiseman4 couldn't take right fork, now waiting
540: Wiseman4 couldn't take right fork, now waiting
541: Wiseman4 couldn't take right fork, now waiting
542: Wiseman4 couldn't take right fork, now waiting
543: Wiseman4 couldn't take right fork, now waiting
544: Wiseman4 couldn't take right fork, now waiting
545: Wiseman4 couldn't take right fork, now waiting
546: Wiseman4 couldn't take right fork, now waiting
547: Wiseman4 couldn't take right fork, now waiting
548: Wiseman4 couldn't take right fork, now waiting
549: Wiseman4 couldn't take right fork, now waiting
550: Wiseman4 couldn't take right fork, now waiting
551: Wiseman4 couldn't take right fork, now waiting
552: Wiseman4 couldn't take right fork, now waiting
553: Wiseman4 couldn't take right fork, now waiting
554: Wiseman4 couldn't take right fork, now waiting
555: Wiseman4 couldn't take right fork, now waiting
556: Wiseman4 couldn't take right fork, now waiting
557: Wiseman4 couldn't take right fork, now waiting
558: Wiseman4 couldn't take right fork, now waiting
559: Wiseman4 couldn't take right fork, now waiting
560: Wiseman4 couldn't take right fork, now waiting
561: Wiseman4 couldn't take right fork, now waiting
562: Wiseman4 couldn't take right fork, now waiting
563: Wiseman4 couldn't take right fork, now waiting
564: Wiseman4 couldn't take right fork, now waiting
565: Wiseman4 couldn't take right fork, now waiting
566: Wiseman4 couldn't take right fork, now waiting
567: Wiseman4 couldn't take right fork, now waiting
568: Wiseman4 couldn't take right fork, now waiting
569: Wiseman4 couldn't take right fork, now waiting
570: Wiseman4 couldn't take right fork, now waiting
571: Wiseman4 couldn't take right fork, now waiting
572: Wiseman4 couldn't take right fork, now waiting
573: Wiseman4 couldn't take right fork, now waiting
574: Wiseman4 couldn't take right fork, now waiting
575: Wiseman4 couldn't take right fork, now waiting
576: Wiseman4 couldn't take right fork, now waiting
577: Wiseman4 couldn't take right fork, now waiting
578: Wiseman4 couldn't take right fork, now waiting
579: Wiseman4 couldn't take right fork, now waiting
